country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Jordan,2030,10655181,0.60 %,63068,-95785,27.5,2.77,120,97.3 %,10364313,0.12 %,8548487400,92
Jordan,2035,11223653,1.04 %,113694,-35013,29.3,2.77,126,99.0 %,11112703,0.13 %,8887524213,89
Jordan,2040,11886727,1.15 %,132615,-4000,31.2,2.77,134,N.A.,N.A.,0.13 %,9198847240,89
Jordan,2045,12461741,0.95 %,115003,-4000,33.1,2.77,140,N.A.,N.A.,0.13 %,9481803274,88
Jordan,2050,12932410,0.74 %,94134, ,34.9,2.77,146,N.A.,N.A.,0.13 %,9735033990,87
Kazakhstan,2020,18776707,1.34 %,240938,-18000,30.7,2.76,7,57.7 %,10828881,0.24 %,7794798739,64
Kazakhstan,2025,19787746,1.05 %,202208,0,31.8,2.76,7,58.1 %,11494249,0.24 %,8184437460,64
Kazakhstan,2030,20639021,0.85 %,170255,0,32.0,2.76,8,59.0 %,12185757,0.24 %,8548487400,68
Kazakhstan,2035,21483450,0.81 %,168886,0,31.4,2.76,8,60.3 %,12963352,0.24 %,8887524213,68
Kazakhstan,2040,22370405,0.81 %,177391,0,31.8,2.76,8,62.0 %,13864117,0.24 %,9198847240,68
Kazakhstan,2045,23242947,0.77 %,174508,0,32.9,2.76,9,64.0 %,14867034,0.25 %,9481803274,68
Kazakhstan,2050,24024045,0.66 %,156220, ,34.2,2.76,9,66.0 %,15866113,0.25 %,9735033990,68
Kenya,2020,53771296,2.35 %,1178592,-10000,20.1,3.52,94,27.8 %,14975059,0.69 %,7794798739,27
Kenya,2025,59981310,2.21 %,1242003,-10000,21.5,3.52,105,30.6 %,18371967,0.73 %,8184437460,26
Kenya,2030,66449654,2.07 %,1293669,-10000,23.0,3.52,117,33.7 %,22382984,0.78 %,8548487400,25
Kenya,2035,73026288,1.91 %,1315327,-10000,24.3,3.52,128,37.0 %,27025992,0.82 %,8887524213,21
Kenya,2040,79469670,1.71 %,1288676,-10000,25.7,3.52,140,40.6 %,32241885,0.86 %,9198847240,21
Kenya,2045,85669261,1.51 %,1239918,-10000,26.9,3.52,151,44.3 %,37975346,0.90 %,9481803274,20
Kenya,2050,91575089,1.34 %,1181166, ,28.1,3.52,161,48.2 %,44184721,0.94 %,9735033990,20
Kiribati,2020,119449,1.49 %,1704,-800,23.0,3.58,147,57.0 %,68069,0.00 %,7794798739,193
Kiribati,2025,129617,1.65 %,2034,-400,23.7,3.58,160,60.3 %,78192,0.00 %,8184437460,193
Kiribati,2030,139179,1.43 %,1912,-400,24.2,3.58,172,63.2 %,87993,0.00 %,8548487400,193
Kiribati,2035,148283,1.28 %,1821,-400,25.4,3.58,183,65.7 %,97362,0.00 %,8887524213,193
Kiribati,2040,157495,1.21 %,1842,-400,26.6,3.58,194,67.7 %,106577,0.00 %,9198847240,193
Kiribati,2045,167100,1.19 %,1921,-400,27.6,3.58,206,69.4 %,116003,0.00 %,9481803274,193
Kiribati,2050,176708,1.12 %,1922, ,28.6,3.58,218,71.1 %,125666,0.00 %,9735033990,193
Kuwait,2020,4270571,2.17 %,86996,39520,36.8,2.1,240,N.A.,N.A.,0.05 %,7794798739,129
Kuwait,2025,4517860,1.13 %,49458,14000,37.4,2.1,254,N.A.,N.A.,0.06 %,8184437460,129
Kuwait,2030,4747081,0.99 %,45844,14000,36.9,2.1,266,N.A.,N.A.,0.06 %,8548487400,129
Kuwait,2035,4958895,0.88 %,42363,12000,37.0,2.1,278,N.A.,N.A.,0.06 %,8887524213,129
Kuwait,2040,5152520,0.77 %,38725,12000,37.4,2.1,289,N.A.,N.A.,0.06 %,9198847240,129
Kuwait,2045,5303566,0.58 %,30209,11000,37.9,2.1,298,N.A.,N.A.,0.06 %,9481803274,129
Kuwait,2050,5393472,0.34 %,17981, ,38.6,2.1,303,N.A.,N.A.,0.06 %,9735033990,129
Kyrgyzstan,2020,6524195,1.83 %,113015,-4000,26.0,3.0,34,35.6 %,2322557,0.08 %,7794798739,111
Kyrgyzstan,2025,7009833,1.45 %,97128,-10000,26.8,3.0,37,36.7 %,2573712,0.09 %,8184437460,109
Kyrgyzstan,2030,7446104,1.21 %,87254,-10000,27.3,3.0,39,38.4 %,2861502,0.09 %,8548487400,108
Kyrgyzstan,2035,7872841,1.12 %,85347,-10000,27.8,3.0,41,40.7 %,3201392,0.09 %,8887524213,108
Kyrgyzstan,2040,8307134,1.08 %,86859,-10000,28.8,3.0,43,43.0 %,3576036,0.09 %,9198847240,106
Kyrgyzstan,2045,8732746,1.00 %,85122,-10000,30.2,3.0,46,45.4 %,3961869,0.09 %,9481803274,106
Kyrgyzstan,2050,9126108,0.89 %,78672, ,31.5,3.0,48,47.6 %,4346012,0.09 %,9735033990,105
Laos,2020,7275560,1.54 %,106879,-14704,24.4,2.7,32,35.7 %,2600131,0.09 %,7794798739,105
Laos,2025,7774533,1.34 %,99795,-14704,26.0,2.7,34,38.8 %,3018824,0.09 %,8184437460,105
Laos,2030,8226273,1.14 %,90348,-14704,27.6,2.7,36,42.0 %,3452176,0.10 %,8548487400,104
Laos,2035,8625713,0.95 %,79888,-14704,29.2,2.7,37,45.1 %,3889031,0.10 %,8887524213,103
Laos,2040,8971946,0.79 %,69247,-14704,31.0,2.7,39,48.1 %,4314948,0.10 %,9198847240,103
Laos,2045,9259156,0.63 %,57442,-14704,32.8,2.7,40,51.0 %,4719484,0.10 %,9481803274,101
Laos,2050,9479747,0.47 %,44118, ,34.5,2.7,41,53.8 %,5101582,0.10 %,9735033990,99
Latvia,2020,1886198,-1.14 %,-22295,-14837,43.9,1.72,30,68.6 %,1293197,0.02 %,7794798739,151
Latvia,2025,1798633,-0.95 %,-17513,-8000,45.1,1.72,29,69.5 %,1250246,0.02 %,8184437460,152
Latvia,2030,1720146,-0.89 %,-15697,-4000,46.1,1.72,28,71.0 %,1221983,0.02 %,8548487400,153
Latvia,2035,1647327,-0.86 %,-14564,-2002,47.5,1.72,26,72.7 %,1197489,0.02 %,8887524213,154
Latvia,2040,1583721,-0.78 %,-12721,-1000,48.6,1.72,25,74.5 %,1180093,0.02 %,9198847240,154
Latvia,2045,1528096,-0.71 %,-11125,-1000,48.3,1.72,25,76.4 %,1166850,0.02 %,9481803274,155
Latvia,2050,1479172,-0.65 %,-9785, ,45.8,1.72,24,77.9 %,1152069,0.02 %,9735033990,155
Lebanon,2020,6825445,0.88 %,58553,-30012,29.6,2.09,667,78.4 %,5353116,0.09 %,7794798739,109
Lebanon,2025,6397248,-1.29 %,-85639,-162428,32.7,2.09,625,78.7 %,5032693,0.08 %,8184437460,112
Lebanon,2030,6194844,-0.64 %,-40481,-99028,35.4,2.09,606,78.5 %,4864173,0.07 %,8548487400,117
Lebanon,2035,6241511,0.15 %,9333,-34000,37.6,2.09,610,78.1 %,4875279,0.07 %,8887524213,118
Lebanon,2040,6376401,0.43 %,26978,-4000,39.6,2.09,623,77.9 %,4965679,0.07 %,9198847240,119
Lebanon,2045,6467872,0.29 %,18294,-4000,41.2,2.09,632,77.6 %,5019359,0.07 %,9481803274,118
Lebanon,2050,6528164,0.19 %,12058, ,42.6,2.09,638,77.4 %,5052040,0.07 %,9735033990,119
Lesotho,2020,2142249,0.80 %,16646,-10047,24.0,3.16,71,31.5 %,674092,0.03 %,7794798739,147
Lesotho,2025,2227560,0.78 %,17062,-8000,25.0,3.16,73,34.8 %,774177,0.03 %,8184437460,147
Lesotho,2030,2325164,0.86 %,19521,-4000,25.9,3.16,77,38.1 %,886719,0.03 %,8548487400,148
Lesotho,2035,2418173,0.79 %,18602,-4000,26.8,3.16,80,41.9 %,1014316,0.03 %,8887524213,148
Lesotho,2040,2507454,0.73 %,17856,-4000,27.7,3.16,83,46.2 %,1158199,0.03 %,9198847240,147
Lesotho,2045,2591075,0.66 %,16724,-4000,28.7,3.16,85,50.8 %,1316407,0.03 %,9481803274,146
Lesotho,2050,2665270,0.57 %,14839, ,29.8,3.16,88,55.7 %,1484831,0.03 %,9735033990,146
Liberia,2020,5057681,2.49 %,117090,-5000,19.4,4.35,53,52.6 %,2658561,0.06 %,7794798739,123
Liberia,2025,5692195,2.39 %,126903,-5000,20.3,4.35,59,55.3 %,3150252,0.07 %,8184437460,120
Liberia,2030,6371553,2.28 %,135872,-5000,21.2,4.35,66,58.4 %,3721867,0.07 %,8548487400,114
Liberia,2035,7085999,2.15 %,142889,-5000,22.2,4.35,74,61.7 %,4371694,0.08 %,8887524213,112
Liberia,2040,7825131,2.00 %,147826,-5000,23.0,4.35,81,65.0 %,5088181,0.09 %,9198847240,111
Liberia,2045,8579902,1.86 %,150954,-5000,23.9,4.35,89,68.3 %,5863026,0.09 %,9481803274,107
Liberia,2050,9339752,1.71 %,151970, ,24.9,4.35,97,71.6 %,6689194,0.10 %,9735033990,100
Libya,2020,6871292,1.37 %,90595,-1999,28.8,2.25,4,78.2 %,5375771,0.09 %,7794798739,108
Libya,2025,7267721,1.13 %,79286,-1999,30.5,2.25,4,79.5 %,5780434,0.09 %,8184437460,107
Libya,2030,7606415,0.92 %,67739,-1999,32.1,2.25,4,80.7 %,6140466,0.09 %,8548487400,107
Libya,2035,7896597,0.75 %,58036,-1999,33.7,2.25,4,81.8 %,6460474,0.09 %,8887524213,107
Libya,2040,8150993,0.64 %,50879,-1999,35.1,2.25,5,82.8 %,6745930,0.09 %,9198847240,108
Libya,2045,8365854,0.52 %,42972,-1999,36.7,2.25,5,83.6 %,6992221,0.09 %,9481803274,108
Libya,2050,8525414,0.38 %,31912, ,38.3,2.25,5,84.3 %,7184097,0.09 %,9735033990,110
Liechtenstein,2020,38128,0.35 %,132,,,,238,14.6 %,5571,0 %,7794798739,217
Liechtenstein,2025,38795,0.35 %,133,,,,242,15.2 %,5900,0 %,8184437460,217
Liechtenstein,2030,39402,0.31 %,121,,,,246,16.1 %,6342,0 %,8548487400,217
Liechtenstein,2035,39899,0.25 %,99,,,,249,17.3 %,6900,0 %,8887524213,217
Liechtenstein,2040,40198,0.15 %,60,,,,251,18.8 %,7558,0 %,9198847240,217
Liechtenstein,2045,40319,0.06 %,24,,,,252,20.4 %,8235,0 %,9481803274,217
Liechtenstein,2050,40360,0.02 %,8,,,,252,22.1 %,8939,0 %,9735033990,217
Lithuania,2020,2722289,-1.47 %,-41918,-32780,45.1,1.67,43,71.3 %,1940986,0.03 %,7794798739,142
Lithuania,2025,2591273,-0.98 %,-26203,-14000,46.2,1.67,41,74.4 %,1929035,0.03 %,8184437460,144
Lithuania,2030,2484803,-0.84 %,-21294,-6000,46.7,1.67,40,77.3 %,1919747,0.03 %,8548487400,146
Lithuania,2035,2381867,-0.84 %,-20587,-3000,47.6,1.67,38,80.2 %,1909316,0.03 %,8887524213,147
Lithuania,2040,2284293,-0.83 %,-19515,-2000,48.8,1.67,36,83.2 %,1899816,0.02 %,9198847240,148
Lithuania,2045,2197745,-0.77 %,-17310,-2000,49.5,1.67,35,86.0 %,1890982,0.02 %,9481803274,150
Lithuania,2050,2121397,-0.70 %,-15270, ,48.1,1.67,34,88.6 %,1879932,0.02 %,9735033990,150
Luxembourg,2020,625978,2.01 %,11847,9741,39.7,1.45,242,88.2 %,552328,0.01 %,7794798739,169
Luxembourg,2025,661131,1.10 %,7031,5000,40.7,1.45,255,89.7 %,593272,0.01 %,8184437460,168
Luxembourg,2030,690348,0.87 %,5843,4000,41.9,1.45,267,91.1 %,629046,0.01 %,8548487400,169
Luxembourg,2035,718219,0.79 %,5574,4000,43.1,1.45,277,92.4 %,663473,0.01 %,8887524213,169
Luxembourg,2040,744175,0.71 %,5191,4000,44.0,1.45,287,93.5 %,695981,0.01 %,9198847240,169
Luxembourg,2045,768062,0.63 %,4777,4000,44.7,1.45,297,94.6 %,726912,0.01 %,9481803274,169
Luxembourg,2050,789942,0.56 %,4376, ,45.0,1.45,305,95.8 %,756649,0.01 %,9735033990,169
Macao,2020,649335,1.52 %,9450,5000,39.3,1.2,21645,N.A.,N.A.,0.01 %,7794798739,167
Macao,2025,693893,1.34 %,8912,5000,41.7,1.2,23130,N.A.,N.A.,0.01 %,8184437460,167
Macao,2030,731874,1.07 %,7596,5000,44.2,1.2,24396,N.A.,N.A.,0.01 %,8548487400,167
Macao,2035,763357,0.85 %,6297,5000,46.8,1.2,25445,N.A.,N.A.,0.01 %,8887524213,168
Macao,2040,790718,0.71 %,5472,5000,48.9,1.2,26357,N.A.,N.A.,0.01 %,9198847240,168
Macao,2045,815665,0.62 %,4989,5000,50.3,1.2,27189,N.A.,N.A.,0.01 %,9481803274,168
Macao,2050,838368,0.55 %,4541, ,50.5,1.2,27946,N.A.,N.A.,0.01 %,9735033990,167
Madagascar,2020,27691018,2.70 %,691386,-1500,19.6,4.11,48,38.5 %,10670252,0.36 %,7794798739,51
Madagascar,2025,31509841,2.62 %,763765,-1500,20.4,4.11,54,41.9 %,13199949,0.38 %,8184437460,51
Madagascar,2030,35622321,2.48 %,822496,-1500,21.2,4.11,61,45.2 %,16101660,0.42 %,8548487400,49
Madagascar,2035,39948586,2.32 %,865253,-1500,22.0,4.11,69,48.4 %,19327758,0.45 %,8887524213,45
Madagascar,2040,44471365,2.17 %,904556,-1500,22.9,4.11,76,51.5 %,22905168,0.48 %,9198847240,42
Madagascar,2045,49174969,2.03 %,940721,-1500,23.8,4.11,85,54.6 %,26853051,0.52 %,9481803274,39
Madagascar,2050,54048128,1.91 %,974632, ,24.8,4.11,93,57.6 %,31157741,0.56 %,9735033990,38
Malawi,2020,19129952,2.70 %,476930,-16053,18.1,4.25,203,18.5 %,3534836,0.25 %,7794798739,62
Malawi,2025,21857472,2.70 %,545504,-6177,19.1,4.25,232,20.2 %,4407124,0.27 %,8184437460,62
Malawi,2030,24849440,2.60 %,598394,-6000,20.1,4.25,264,22.3 %,5551124,0.29 %,8548487400,60
Malawi,2035,28022273,2.43 %,634567,-6000,21.2,4.25,297,25.1 %,7021730,0.32 %,8887524213,59
Malawi,2040,31317322,2.25 %,659010,-6000,22.2,4.25,332,28.1 %,8808675,0.34 %,9198847240,57
Malawi,2045,34703793,2.07 %,677294,-6000,23.3,4.25,368,31.5 %,10916620,0.37 %,9481803274,58
Malawi,2050,38142973,1.91 %,687836, ,24.4,4.25,405,35.0 %,13360225,0.39 %,9735033990,54
Malaysia,2020,32365999,1.35 %,419007,50000,30.3,2.01,99,78.4 %,25361963,0.42 %,7794798739,45
Malaysia,2025,34349936,1.20 %,396787,50000,32.2,2.01,105,81.1 %,27844592,0.42 %,8184437460,46
Malaysia,2030,36095054,1.00 %,349024,46626,34.1,2.01,110,83.4 %,30109432,0.42 %,8548487400,46
Malaysia,2035,37566148,0.80 %,294219,48598,36.0,2.01,114,85.4 %,32066630,0.42 %,8887524213,48
Malaysia,2040,38754574,0.62 %,237685,48585,37.8,2.01,118,87.0 %,33717113,0.42 %,9198847240,49
Malaysia,2045,39729699,0.50 %,195025,48664,39.3,2.01,121,88.4 %,35138248,0.42 %,9481803274,49
Malaysia,2050,40550365,0.41 %,164133, ,40.5,2.01,123,89.9 %,36439872,0.42 %,9735033990,51
Maldives,2020,540544,3.51 %,17126,11370,29.9,1.88,1802,34.5 %,186634,0.01 %,7794798739,173
Maldives,2025,522128,-0.69 %,-3683,-8646,33.8,1.88,1740,40.2 %,209810,0.01 %,8184437460,173
Maldives,2030,519341,-0.11 %,-557,-4535,37.1,1.88,1731,44.4 %,230531,0.01 %,8548487400,173
Maldives,2035,538166,0.71 %,3765,326,40.2,1.88,1794,46.5 %,250454,0.01 %,8887524213,173
Maldives,2040,556277,0.66 %,3622,326,42.6,1.88,1854,48.6 %,270587,0.01 %,9198847240,173
Maldives,2045,573131,0.60 %,3371,326,44.5,1.88,1910,50.8 %,290994,0.01 %,9481803274,173
Maldives,2050,586100,0.45 %,2594, ,45.7,1.88,1954,53.0 %,310545,0.01 %,9735033990,173
Mali,2020,20250833,3.04 %,562411,-40000,16.3,5.92,17,44.0 %,8906636,0.26 %,7794798739,60
Mali,2025,23415891,2.95 %,633012,-40000,17.0,5.92,19,47.8 %,11190626,0.29 %,8184437460,59
Mali,2030,26957396,2.86 %,708301,-40000,17.8,5.92,22,51.4 %,13849850,0.32 %,8548487400,58
Mali,2035,30819218,2.71 %,772364,-40000,18.6,5.92,25,54.7 %,16846185,0.35 %,8887524213,56
Mali,2040,34938568,2.54 %,823870,-40000,19.4,5.92,29,57.8 %,20182154,0.38 %,9198847240,56
Mali,2045,39212640,2.34 %,854814,-40000,20.4,5.92,32,60.8 %,23856107,0.41 %,9481803274,51
Mali,2050,43585530,2.14 %,874578, ,21.5,5.92,36,63.8 %,27825131,0.45 %,9735033990,49
Malta,2020,441543,0.37 %,1597,900,42.6,1.45,1380,93.2 %,411533,0.01 %,7794798739,174
Malta,2025,447186,0.25 %,1129,800,44.1,1.45,1397,93.3 %,417398,0.01 %,8184437460,175
Malta,2030,448899,0.08 %,343,600,45.8,1.45,1403,93.5 %,419700,0.01 %,8548487400,176
Malta,2035,446016,-0.13 %,-577,400,47.4,1.45,1394,93.7 %,417964,0.01 %,8887524213,176
Malta,2040,440308,-0.26 %,-1142,400,49.0,1.45,1376,94.0 %,413984,0.00 %,9198847240,179
Malta,2045,433459,-0.31 %,-1370,400,50.3,1.45,1355,94.4 %,409304,0.00 %,9481803274,180
Malta,2050,426787,-0.31 %,-1334, ,51.0,1.45,1334,94.9 %,404948,0.00 %,9735033990,180
Marshall Islands,2020,59190,0.6 %,350,,,,329,70 %,41426,0 %,7794798739,207
Marshall Islands,2025,61604,0.8 %,483,,,,342,69.3 %,42714,0 %,8184437460,207
Marshall Islands,2030,65000,1.08 %,679,,,,361,69.4 %,45100,0 %,8548487400,206
Marshall Islands,2035,68326,1 %,665,,,,380,70.6 %,48270,0 %,8887524213,206
Marshall Islands,2040,71270,0.85 %,589,,,,396,72.5 %,51690,0 %,9198847240,206
Marshall Islands,2045,73605,0.65 %,467,,,,409,74.1 %,54573,0 %,9481803274,205
Marshall Islands,2050,75365,0.47 %,352,,,,419,74.9 %,56454,0 %,9735033990,205
Martinique,2020,375265,-0.17 %,-643,-960,47.0,1.88,354,91.6 %,343595,0.00 %,7794798739,179
Martinique,2025,371763,-0.19 %,-700,-641,48.5,1.88,351,92.6 %,344150,0.00 %,8184437460,179
Martinique,2030,367716,-0.22 %,-809,-641,48.7,1.88,347,93.6 %,344230,0.00 %,8548487400,181
Martinique,2035,362879,-0.26 %,-967,-641,48.2,1.88,342,94.7 %,343708,0.00 %,8887524213,183
Martinique,2040,355603,-0.40 %,-1455,-641,47.5,1.88,335,96.0 %,341382,0.00 %,9198847240,183
Martinique,2045,344941,-0.61 %,-2132,-641,47.7,1.88,325,97.5 %,336389,0.00 %,9481803274,184
Martinique,2050,331960,-0.76 %,-2596, ,48.7,1.88,313,99.1 %,328921,0.00 %,9735033990,185
Mauritania,2020,4649658,2.82 %,120671,5000,20.1,4.59,5,56.9 %,2646714,0.06 %,7794798739,127
Mauritania,2025,5290949,2.62 %,128258,4001,20.7,4.59,5,60.6 %,3206736,0.06 %,8184437460,125
Mauritania,2030,5967168,2.43 %,135244,3000,21.4,4.59,6,63.8 %,3807767,0.07 %,8548487400,121
Mauritania,2035,6680816,2.29 %,142730,3000,22.3,4.59,6,66.5 %,4444113,0.08 %,8887524213,115
Mauritania,2040,7432083,2.15 %,150253,3000,23.1,4.59,7,68.7 %,5105847,0.08 %,9198847240,114
Mauritania,2045,8215471,2.02 %,156678,3000,23.9,4.59,8,70.6 %,5802413,0.09 %,9481803274,112
Mauritania,2050,9024892,1.90 %,161884, ,24.7,4.59,9,72.4 %,6532273,0.09 %,9735033990,106
Mauritius,2020,1271768,0.19 %,2462,0,37.5,1.39,626,40.8 %,519330,0.02 %,7794798739,157
Mauritius,2025,1276643,0.08 %,975,0,39.2,1.39,629,41.3 %,526689,0.02 %,8184437460,157
Mauritius,2030,1274041,-0.04 %,-520,0,40.8,1.39,628,42.3 %,538588,0.01 %,8548487400,158
Mauritius,2035,1263821,-0.16 %,-2044,0,42.6,1.39,623,43.8 %,554003,0.01 %,8887524213,158
Mauritius,2040,1244869,-0.30 %,-3790,0,44.5,1.39,613,45.9 %,572012,0.01 %,9198847240,158
Mauritius,2045,1217855,-0.44 %,-5403,0,46.1,1.39,600,48.4 %,589818,0.01 %,9481803274,160
Mauritius,2050,1185529,-0.54 %,-6465, ,47.7,1.39,584,51.0 %,604348,0.01 %,9735033990,161
Mayotte,2020,272815,2.59 %,6559,0,20.1,3.73,728,45.8 %,124952,0.00 %,7794798739,186
Mayotte,2025,306883,2.38 %,6814,0,21.5,3.73,818,45.4 %,139411,0.00 %,8184437460,183
Mayotte,2030,342890,2.24 %,7201,0,23.1,3.73,914,45.9 %,157242,0.00 %,8548487400,183
Mayotte,2035,380800,2.12 %,7582,0,24.7,3.73,1015,47.1 %,179252,0.00 %,8887524213,181
Mayotte,2040,419423,1.95 %,7725,0,26.2,3.73,1118,49.1 %,205819,0.00 %,9198847240,180
Mayotte,2045,457716,1.76 %,7659,0,27.5,3.73,1221,51.3 %,234658,0.00 %,9481803274,179
Mayotte,2050,494839,1.57 %,7425, ,28.9,3.73,1320,53.4 %,264489,0.01 %,9735033990,178
Mexico,2020,128932753,1.14 %,1414899,-60000,29.2,2.14,66,83.8 %,108074410,1.65 %,7794798739,10
Mexico,2025,135284067,0.97 %,1270263,-55000,30.9,2.14,70,85.7 %,115925945,1.65 %,8184437460,10
Mexico,2030,140875762,0.81 %,1118339,-50000,32.6,2.14,72,87.5 %,123197865,1.65 %,8548487400,11
Mexico,2035,145755093,0.68 %,975866,-50000,34.3,2.14,75,89.0 %,129794502,1.64 %,8887524213,10
Mexico,2040,149759039,0.54 %,800789,-50000,36.1,2.14,77,90.6 %,135640826,1.63 %,9198847240,11
Mexico,2045,152887034,0.41 %,625599,-50000,37.7,2.14,79,92.0 %,140697068,1.61 %,9481803274,11
Mexico,2050,155150818,0.29 %,452757, ,39.3,2.14,80,93.4 %,144909934,1.59 %,9735033990,12
Micronesia,2020,548914,0.97 %,5194,-3000,26.8,2.86,173,68.2 %,374606,0.0 %,7794798739,194
Micronesia,2025,576297,0.98 %,5477,-2400,28.0,2.88,182,68.9 %,397334,0.0 %,8184437460,194
Micronesia,2030,602544,0.89 %,5249,-2100,29.3,2.88,190,69.8 %,420672,0.0 %,8548487400,194
Micronesia,2035,625598,0.75 %,4611,-2100,30.3,2.87,197,70.8 %,442871,0.0 %,8887524213,194
Micronesia,2040,644940,0.61 %,3868,-2100,31.6,2.86,203,71.8 %,462962,0.0 %,9198847240,194
Micronesia,2045,660989,0.49 %,3210,-2100,32.8,2.88,209,72.7 %,480410,0.0 %,9481803274,194
Micronesia,2050,674314,0.4 %,2665,-2100,33.9,2.92,213,73.5 %,495448,0.0 %,9735033990,194
Moldova,2020,4033963,-0.18 %,-7347,-1387,37.6,1.26,123,42.7 %,1721540,0.05 %,7794798739,131
Moldova,2025,3974249,-0.30 %,-11943,-1387,39.8,1.26,121,43.5 %,1729211,0.05 %,8184437460,131
Moldova,2030,3885896,-0.45 %,-17671,-1387,42.4,1.26,118,45.0 %,1749048,0.05 %,8548487400,131
Moldova,2035,3771974,-0.59 %,-22784,-1387,45.0,1.26,115,47.1 %,1778462,0.04 %,8887524213,132
Moldova,2040,3641185,-0.70 %,-26158,-1387,47.0,1.26,111,49.9 %,1816650,0.04 %,9198847240,134
Moldova,2045,3502819,-0.77 %,-27673,-1387,48.4,1.26,107,52.8 %,1851057,0.04 %,9481803274,137
Moldova,2050,3360177,-0.83 %,-28528, ,48.9,1.26,102,55.7 %,1873266,0.03 %,9735033990,141
Monaco,2020,39242,0.8 %,305,,,,26337,N.A.,N.A.,0 %,7794798739,214
Monaco,2025,40557,0.66 %,263,,,,27219,99.4 %,40294,0 %,8184437460,216
Monaco,2030,41777,0.59 %,244,,,,28038,99 %,41362,0 %,8548487400,216
Monaco,2035,42929,0.55 %,230,,,,28811,98.9 %,42462,0 %,8887524213,216
Monaco,2040,43972,0.48 %,209,,,,29511,98.9 %,43487,0 %,9198847240,216
Monaco,2045,44949,0.44 %,195,,,,30167,99 %,44513,0 %,9481803274,216
Monaco,2050,46002,0.46 %,211,,,,30874,99.3 %,45685,0 %,9735033990,216
Mongolia,2020,3278290,1.80 %,55970,-852,28.2,2.9,2,67.2 %,2203469,0.04 %,7794798739,136
Mongolia,2025,3513907,1.40 %,47123,-852,29.0,2.9,2,67.2 %,2362934,0.04 %,8184437460,135
Mongolia,2030,3716210,1.13 %,40461,-852,29.2,2.9,2,67.7 %,2514445,0.04 %,8548487400,134
Mongolia,2035,3904133,0.99 %,37585,-852,29.2,2.9,3,68.3 %,2666400,0.04 %,8887524213,131
Mongolia,2040,4089203,0.93 %,37014,-852,30.0,2.9,3,69.1 %,2827310,0.04 %,9198847240,131
Mongolia,2045,4272631,0.88 %,36686,-852,31.4,2.9,3,70.2 %,2998412,0.05 %,9481803274,132
Mongolia,2050,4448930,0.81 %,35260, ,32.7,2.9,3,71.2 %,3167269,0.05 %,9735033990,132
Montenegro,2020,628066,0.04 %,222,-480,38.8,1.75,47,67.6 %,424767,0.01 %,7794798739,168
Montenegro,2025,627144,-0.03 %,-184,-480,40.1,1.75,47,69.3 %,434519,0.01 %,8184437460,170
Montenegro,2030,624059,-0.10 %,-617,-480,41.3,1.75,46,70.9 %,442718,0.01 %,8548487400,171
Montenegro,2035,618423,-0.18 %,-1127,-480,42.4,1.75,46,72.6 %,448985,0.01 %,8887524213,172
Montenegro,2040,610259,-0.27 %,-1633,-480,43.4,1.75,45,74.2 %,452905,0.01 %,9198847240,172
Montenegro,2045,600227,-0.33 %,-2006,-480,44.2,1.75,45,75.7 %,454493,0.01 %,9481803274,172
Montenegro,2050,589333,-0.37 %,-2179, ,44.8,1.75,44,77.1 %,454345,0.01 %,9735033990,172
Montserrat,2020,4992,0.1 %,5,,,,50,9.6 %,478,0 %,7794798739,231
Montserrat,2025,4895,-0.39 %,-19,,,,49,10.2 %,501,0 %,8184437460,231
Montserrat,2030,4763,-0.55 %,-26,,,,48,11.2 %,532,0 %,8548487400,231
Montserrat,2035,4620,-0.61 %,-29,,,,46,12.4 %,574,0 %,8887524213,231
Montserrat,2040,4479,-0.62 %,-28,,,,45,14 %,626,0 %,9198847240,231
Montserrat,2045,4323,-0.71 %,-31,,,,43,15.7 %,677,0 %,9481803274,231
Montserrat,2050,4153,-0.8 %,-34,,,,42,17.6 %,730,0 %,9735033990,231
Morocco,2020,36910560,1.26 %,449391,-51419,29.5,2.42,83,63.8 %,23551599,0.47 %,7794798739,40
Morocco,2025,39009798,1.11 %,419848,-40000,31.2,2.42,87,66.3 %,25869035,0.48 %,8184437460,39
Morocco,2030,40887295,0.94 %,375499,-40000,32.7,2.42,92,68.6 %,28068510,0.48 %,8548487400,40
Morocco,2035,42541196,0.80 %,330780,-40000,34.1,2.42,95,70.8 %,30126912,0.48 %,8887524213,39
Morocco,2040,43973175,0.66 %,286396,-40000,35.4,2.42,99,72.8 %,32017574,0.48 %,9198847240,41
Morocco,2045,45181542,0.54 %,241673,-40000,36.7,2.42,101,74.6 %,33725978,0.48 %,9481803274,44
Morocco,2050,46165501,0.43 %,196792, ,38.2,2.42,103,76.4 %,35257592,0.47 %,9735033990,44
Mozambique,2020,31255435,2.94 %,842687,-5000,17.6,4.89,40,38.3 %,11978439,0.40 %,7794798739,46
Mozambique,2025,35984620,2.86 %,945837,-5000,18.3,4.89,46,41.2 %,14810679,0.44 %,8184437460,44
Mozambique,2030,41184834,2.74 %,1040043,-5000,19.0,4.89,52,44.2 %,18195295,0.48 %,8548487400,41
