country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
South Sudan,2005,7535932,3.98 %,267308,86400,17.7,6.0,12,18.5 %,1391012,0.12 %,6541907027.0,94.0
South Sudan,2000,6199394,3.91 %,216262,60000,17.6,6.42,10,17.8 %,1105850,0.10 %,6143493823.0,99.0
South Sudan,1995,5118083,-1.40 %,-74908,-219415,17.7,6.65,8,16.9 %,866570,0.09 %,5744212979.0,105.0
South Sudan,1990,5492623,1.02 %,54375,-83247,17.8,6.83,9,13.9 %,765828,0.10 %,5327231061.0,95.0
South Sudan,1985,5220747,3.00 %,143629,30000,17.8,6.78,9,10.3 %,536559,0.11 %,4870921740.0,94.0
South Sudan,1980,4502604,2.70 %,112197,12000,17.8,6.92,7,8.9 %,400849,0.10 %,4458003514.0,101.0
South Sudan,1975,3941618,2.44 %,89523,5000,18.0,6.9,6,9.0 %,353282,0.10 %,4079480606.0,102.0
South Sudan,1970,3494004,2.20 %,72171,0,18.6,6.85,6,9.0 %,314909,0.09 %,3700437046.0,103.0
South Sudan,1965,3133150,1.96 %,58085,0,19.0,6.75,5,9.1 %,283626,0.09 %,3339583597.0,102.0
South Sudan,1960,2842724,1.65 %,44602,0,19.0,6.7,5,9.1 %,258524,0.09 %,3034949748.0,102.0
South Sudan,1955,2619712,1.08 %,27482,0,18.9,6.65,4,9.1 %,239670,0.09 %,2773019936.0,102.0
Spain,2020,46754778,0.04 %,18002,40000,44.9,1.33,94,80.3 %,37543537,0.60 %,7794798739.0,30.0
Spain,2019,46736776,0.09 %,43918,40000,43.0,1.33,94,80.1 %,37415111,0.61 %,7713468100.0,30.0
Spain,2018,46692858,0.10 %,45430,40000,43.0,1.33,94,79.8 %,37267072,0.61 %,7631091040.0,30.0
Spain,2017,46647428,0.03 %,13288,40000,43.0,1.33,94,79.6 %,37120403,0.62 %,7547858925.0,30.0
Spain,2016,46634140,-0.08 %,-37786,40000,43.0,1.33,93,79.3 %,37003839,0.62 %,7464022049.0,30.0
Spain,2015,46671926,-0.11 %,-51818,-104088,42.5,1.33,94,79.1 %,36933458,0.63 %,7379797139.0,30.0
Spain,2010,46931015,1.29 %,582378,454770,40.0,1.45,94,78.2 %,36702035,0.67 %,6956823603.0,27.0
Spain,2005,44019123,1.52 %,638874,581642,39.1,1.28,88,77.3 %,34028496,0.67 %,6541907027.0,28.0
Spain,2000,40824754,0.52 %,207467,186214,37.6,1.19,82,76.4 %,31194106,0.66 %,6143493823.0,28.0
Spain,1995,39787419,0.30 %,116979,63854,35.5,1.28,80,76.1 %,30259317,0.69 %,5744212979.0,28.0
Spain,1990,39202525,0.24 %,93730,-13536,33.4,1.46,79,75.6 %,29617580,0.74 %,5327231061.0,26.0
Spain,1985,38733876,0.54 %,207136,-8658,31.6,1.88,78,74.4 %,28821455,0.80 %,4870921740.0,25.0
Spain,1980,37698196,0.99 %,363797,15381,30.4,2.55,76,73.0 %,27511836,0.85 %,4458003514.0,24.0
Spain,1975,35879209,1.15 %,399092,19398,29.9,2.85,72,69.8 %,25028014,0.88 %,4079480606.0,22.0
Spain,1970,33883749,1.06 %,347497,-29187,29.8,2.84,68,66.2 %,22440001,0.92 %,3700437046.0,22.0
Spain,1965,32146263,1.12 %,348770,-38761,30.0,2.81,64,61.5 %,19756731,0.96 %,3339583597.0,17.0
Spain,1960,30402411,0.92 %,270803,-91005,29.2,2.7,61,56.7 %,17246904,1.00 %,3034949748.0,18.0
Spain,1955,29048395,0.69 %,195732,-101007,28.6,2.53,58,54.4 %,15792936,1.05 %,2773019936.0,17.0
Sri Lanka,2020,21413249,0.42 %,89516,-97986,34.0,2.21,341,18.4 %,3945488,0.27 %,7794798739.0,58.0
Sri Lanka,2019,21323733,0.45 %,94970,-97986,32.6,2.21,340,18.3 %,3906383,0.28 %,7713468100.0,58.0
Sri Lanka,2018,21228763,0.48 %,100731,-97986,32.6,2.21,339,18.2 %,3870642,0.28 %,7631091040.0,58.0
Sri Lanka,2017,21128032,0.51 %,106861,-97986,32.6,2.21,337,18.2 %,3838068,0.28 %,7547858925.0,58.0
Sri Lanka,2016,21021171,0.54 %,113144,-97986,32.6,2.21,335,18.1 %,3808409,0.28 %,7464022049.0,57.0
Sri Lanka,2015,20908027,0.63 %,129258,-96954,32.3,2.21,333,18.1 %,3781471,0.28 %,7379797139.0,57.0
Sri Lanka,2010,20261737,0.72 %,143350,-104013,30.4,2.28,323,18.2 %,3681427,0.29 %,6956823603.0,59.0
Sri Lanka,2005,19544988,0.80 %,153477,-89896,29.0,2.26,312,18.3 %,3573620,0.30 %,6541907027.0,54.0
Sri Lanka,2000,18777601,0.58 %,106938,-92337,27.6,2.24,299,18.4 %,3452171,0.31 %,6143493823.0,52.0
Sri Lanka,1995,18242912,1.04 %,183428,-51156,25.8,2.38,291,18.5 %,3367985,0.32 %,5744212979.0,49.0
Sri Lanka,1990,17325773,1.38 %,229899,-27488,24.2,2.64,276,18.5 %,3212099,0.33 %,5327231061.0,48.0
Sri Lanka,1985,16176280,1.47 %,228089,-79739,22.8,3.19,258,18.6 %,3011554,0.33 %,4870921740.0,45.0
Sri Lanka,1980,15035834,1.80 %,256138,-47500,21.7,3.61,240,18.6 %,2797666,0.34 %,4458003514.0,43.0
Sri Lanka,1975,13755146,1.96 %,253881,-29000,20.6,4.0,219,18.1 %,2489237,0.34 %,4079480606.0,43.0
Sri Lanka,1970,12485740,2.36 %,274984,-7700,19.6,4.7,199,17.6 %,2197238,0.34 %,3700437046.0,43.0
Sri Lanka,1965,11110820,2.39 %,247269,-9500,19.1,5.2,177,17.1 %,1901067,0.33 %,3339583597.0,45.0
Sri Lanka,1960,9874476,2.38 %,219208,-15000,19.1,5.8,157,16.4 %,1622519,0.33 %,3034949748.0,45.0
Sri Lanka,1955,8778438,1.95 %,161468,-3300,20.0,5.8,140,15.6 %,1373606,0.32 %,2773019936.0,45.0
State Of Palestine,2020,5101414,2.41 %,119994,-10563,20.8,3.67,847,80.0 %,4083476,0.07 %,7794798739.0,121.0
State Of Palestine,2019,4981420,2.44 %,118441,-10563,19.7,4.13,827,79.6 %,3964760,0.06 %,7713468100.0,121.0
State Of Palestine,2018,4862979,2.44 %,115752,-10563,19.7,4.13,808,79.1 %,3848420,0.06 %,7631091040.0,121.0
State Of Palestine,2017,4747227,2.41 %,111573,-10563,19.7,4.13,789,78.7 %,3734536,0.06 %,7547858925.0,122.0
State Of Palestine,2016,4635654,2.35 %,106488,-10563,19.7,4.13,770,78.2 %,3623138,0.06 %,7464022049.0,123.0
State Of Palestine,2015,4529166,2.23 %,94707,-31413,19.5,4.25,752,77.6 %,3514324,0.06 %,7379797139.0,123.0
State Of Palestine,2010,4055631,2.54 %,95534,-20734,18.2,4.6,674,74.4 %,3015515,0.06 %,6956823603.0,127.0
State Of Palestine,2005,3577961,2.11 %,70792,-38000,17.0,5.02,594,73.0 %,2612793,0.05 %,6541907027.0,129.0
State Of Palestine,2000,3224003,4.25 %,121067,14000,16.0,5.81,536,71.9 %,2319571,0.05 %,6143493823.0,129.0
State Of Palestine,1995,2618668,4.50 %,103444,7001,15.7,6.6,435,70.2 %,1838048,0.05 %,5744212979.0,133.0
State Of Palestine,1990,2101446,3.62 %,68382,-7869,15.7,6.76,349,67.7 %,1422479,0.04 %,5327231061.0,137.0
State Of Palestine,1985,1759534,3.10 %,49764,-12291,15.5,7.05,292,65.1 %,1144681,0.04 %,4870921740.0,141.0
State Of Palestine,1980,1510713,2.68 %,37382,-16739,15.1,7.5,251,62.3 %,941551,0.03 %,4458003514.0,141.0
State Of Palestine,1975,1323802,3.28 %,39435,-6451,14.8,7.69,220,59.5 %,787567,0.03 %,4079480606.0,142.0
State Of Palestine,1970,1126629,-1.11 %,-12950,-56368,15.3,8.0,187,54.2 %,610666,0.03 %,3700437046.0,142.0
State Of Palestine,1965,1191379,2.19 %,24412,-15529,16.1,8.0,198,48.9 %,582558,0.04 %,3339583597.0,136.0
State Of Palestine,1960,1069320,1.60 %,16313,-13591,16.8,7.38,178,44.0 %,470972,0.04 %,3034949748.0,137.0
State Of Palestine,1955,987755,1.17 %,11165,-13763,17.0,7.38,164,40.6 %,401302,0.04 %,2773019936.0,136.0
Sudan,2020,43849260,2.42 %,1036022,-50000,19.7,4.43,25,35.0 %,15349424,0.56 %,7794798739.0,34.0
Sudan,2019,42813238,2.42 %,1011705,-50000,19.0,4.69,24,34.7 %,14852586,0.56 %,7713468100.0,35.0
Sudan,2018,41801533,2.42 %,988136,-50000,19.0,4.69,24,34.4 %,14380217,0.55 %,7631091040.0,35.0
Sudan,2017,40813397,2.42 %,965958,-50000,19.0,4.69,23,34.1 %,13931288,0.54 %,7547858925.0,35.0
Sudan,2016,39847439,2.43 %,944489,-50000,19.0,4.69,23,33.9 %,13504639,0.53 %,7464022049.0,34.0
Sudan,2015,38902950,2.40 %,871587,-107629,18.9,4.75,22,33.7 %,13099314,0.53 %,7379797139.0,34.0
Sudan,2010,34545013,2.22 %,719099,-196537,18.3,5.0,20,32.9 %,11378101,0.50 %,6956823603.0,35.0
Sudan,2005,30949516,2.56 %,734900,-109201,18.1,5.3,18,32.7 %,10126640,0.47 %,6541907027.0,36.0
Sudan,2000,27275015,2.51 %,636054,-120536,17.9,5.65,15,32.5 %,8855115,0.44 %,6143493823.0,37.0
Sudan,1995,24094747,3.64 %,789431,129162,17.7,6.0,14,32.2 %,7768800,0.42 %,5744212979.0,38.0
Sudan,1990,20147590,3.20 %,587481,30000,17.0,6.3,11,28.6 %,5764212,0.38 %,5327231061.0,42.0
Sudan,1985,17210187,3.48 %,540544,44000,16.6,6.63,10,22.9 %,3947451,0.35 %,4870921740.0,43.0
Sudan,1980,14507468,3.62 %,472667,36000,16.4,6.92,8,20.0 %,2895483,0.33 %,4458003514.0,47.0
Sudan,1975,12144135,3.39 %,372487,4000,16.5,6.9,7,18.9 %,2300428,0.30 %,4079480606.0,50.0
Sudan,1970,10281700,3.23 %,302321,0,16.8,6.86,6,16.5 %,1698802,0.28 %,3700437046.0,51.0
Sudan,1965,8770097,3.06 %,245121,0,17.1,6.75,5,13.4 %,1172787,0.26 %,3339583597.0,61.0
Sudan,1960,7544491,2.87 %,199039,0,17.5,6.65,4,10.7 %,810765,0.25 %,3034949748.0,59.0
Sudan,1955,6549298,2.70 %,163102,0,17.8,6.65,4,8.6 %,562183,0.24 %,2773019936.0,61.0
Suriname,2020,586632,0.90 %,5260,-1000,29.0,2.43,4,65.1 %,382175,0.01 %,7794798739.0,171.0
Suriname,2019,581372,0.93 %,5382,-1000,28.1,2.53,4,65.2 %,378783,0.01 %,7713468100.0,171.0
Suriname,2018,575990,0.96 %,5494,-1000,28.1,2.53,4,65.2 %,375417,0.01 %,7631091040.0,170.0
Suriname,2017,570496,0.99 %,5608,-1000,28.1,2.53,4,65.2 %,372076,0.01 %,7547858925.0,170.0
Suriname,2016,564888,1.03 %,5745,-1000,28.1,2.53,4,65.3 %,368745,0.01 %,7464022049.0,170.0
Suriname,2015,559143,1.11 %,6002,-1000,27.9,2.56,4,65.4 %,365427,0.01 %,7379797139.0,170.0
Suriname,2010,529131,1.16 %,5933,-1297,26.7,2.67,3,66.0 %,349037,0.01 %,6956823603.0,168.0
Suriname,2005,499464,1.18 %,5703,-1825,25.5,2.83,3,66.6 %,332708,0.01 %,6541907027.0,167.0
Suriname,2000,470949,1.28 %,5820,-2038,24.8,2.96,3,66.6 %,313876,0.01 %,6143493823.0,167.0
Suriname,1995,441851,1.75 %,7337,-1039,23.6,3.19,3,66.4 %,293195,0.01 %,5744212979.0,167.0
Suriname,1990,405168,1.91 %,7306,-969,22.6,3.36,3,66.1 %,267733,0.01 %,5327231061.0,167.0
Suriname,1985,368638,0.50 %,1824,-6354,21.4,3.7,2,65.8 %,242695,0.01 %,4870921740.0,165.0
Suriname,1980,359519,0.02 %,59,-8070,18.9,4.2,2,65.5 %,235660,0.01 %,4458003514.0,164.0
Suriname,1975,359226,-0.48 %,-1741,-11364,16.1,5.29,2,54.3 %,194923,0.01 %,4079480606.0,161.0
Suriname,1970,367931,2.27 %,7799,-2772,15.9,5.95,2,46.4 %,170592,0.01 %,3700437046.0,160.0
Suriname,1965,328936,2.70 %,8213,-2210,16.2,6.56,2,47.5 %,156305,0.01 %,3339583597.0,161.0
Suriname,1960,287871,2.94 %,7774,-1083,16.7,6.56,2,47.6 %,137039,0.01 %,3034949748.0,161.0
Suriname,1955,249000,2.98 %,6800,-685,19.0,6.56,2,47.3 %,117726,0.01 %,2773019936.0,161.0
Swaziland,2020,1160164,1.05 %,12034,-8353,20.7,3.03,67,30.0 %,347895,0.01 %,7794798739.0,159.0
Swaziland,2019,1148130,1.04 %,11849,-8353,19.9,3.11,67,29.6 %,339434,0.01 %,7713468100.0,159.0
Swaziland,2018,1136281,1.02 %,11476,-8353,19.9,3.11,66,29.1 %,331139,0.01 %,7631091040.0,159.0
Swaziland,2017,1124805,0.97 %,10808,-8353,19.9,3.11,65,28.7 %,323016,0.01 %,7547858925.0,159.0
Swaziland,2016,1113997,0.90 %,9953,-8353,19.9,3.11,65,28.3 %,315075,0.01 %,7464022049.0,159.0
Swaziland,2015,1104044,0.73 %,7841,-8353,19.7,3.14,64,27.8 %,307330,0.01 %,7379797139.0,159.0
Swaziland,2010,1064837,0.66 %,6852,-7644,19.0,3.56,62,25.4 %,270400,0.02 %,6956823603.0,158.0
Swaziland,2005,1030579,0.50 %,5029,-9563,18.5,3.76,60,23.6 %,243713,0.02 %,6541907027.0,154.0
Swaziland,2000,1005435,1.64 %,15719,-5169,17.7,4.14,58,24.0 %,240805,0.02 %,6143493823.0,154.0
Swaziland,1995,926841,2.42 %,20884,-4650,16.6,4.78,54,23.1 %,214125,0.02 %,5744212979.0,154.0
Swaziland,1990,822420,3.30 %,24668,-444,15.6,5.49,48,21.2 %,174011,0.02 %,5327231061.0,154.0
Swaziland,1985,699080,3.53 %,22244,-1862,14.7,6.57,41,18.4 %,128791,0.01 %,4870921740.0,157.0
Swaziland,1980,587858,3.30 %,17619,-2020,15.0,6.73,34,16.9 %,99425,0.01 %,4458003514.0,158.0
Swaziland,1975,499763,2.99 %,13702,-2285,15.6,6.87,29,14.5 %,72406,0.01 %,4079480606.0,159.0
Swaziland,1970,431253,2.89 %,11467,-793,16.3,6.85,25,10.0 %,43260,0.01 %,3700437046.0,159.0
Swaziland,1965,373919,2.13 %,7467,-2402,16.4,6.81,22,6.8 %,25428,0.01 %,3339583597.0,159.0
Swaziland,1960,336583,2.12 %,6711,-1610,17.1,6.7,20,4.1 %,13664,0.01 %,3034949748.0,157.0
Swaziland,1955,303028,2.11 %,6005,-1135,17.8,6.7,18,2.6 %,7761,0.01 %,2773019936.0,159.0
Sweden,2020,10099265,0.63 %,62886,40000,41.1,1.85,25,88.2 %,8904762,0.13 %,7794798739.0,91.0
Sweden,2019,10036379,0.65 %,64741,40000,40.9,1.89,24,87.9 %,8817415,0.13 %,7713468100.0,91.0
Sweden,2018,9971638,0.67 %,66742,40000,40.9,1.89,24,87.5 %,8727991,0.13 %,7631091040.0,89.0
Sweden,2017,9904896,0.70 %,68889,40000,40.9,1.89,24,87.2 %,8636758,0.13 %,7547858925.0,89.0
Sweden,2016,9836007,0.73 %,71057,40000,40.9,1.89,24,86.9 %,8544134,0.13 %,7464022049.0,89.0
Sweden,2015,9764950,0.79 %,74956,50792,40.9,1.9,24,86.5 %,8450611,0.13 %,7379797139.0,90.0
Sweden,2010,9390168,0.77 %,70309,52491,40.7,1.89,23,85.1 %,7986934,0.13 %,6956823603.0,89.0
Sweden,2005,9038623,0.35 %,31397,28345,40.3,1.67,22,84.3 %,7621289,0.14 %,6541907027.0,88.0
Sweden,2000,8881640,0.10 %,9044,11694,39.4,1.56,22,84.0 %,7462891,0.14 %,6143493823.0,82.0
Sweden,1995,8836420,0.62 %,53807,31292,38.5,2.01,22,83.8 %,7407014,0.15 %,5744212979.0,81.0
Sweden,1990,8567384,0.50 %,41946,26914,38.4,1.91,21,83.1 %,7119496,0.16 %,5327231061.0,78.0
Sweden,1985,8357652,0.10 %,8263,5960,37.7,1.64,20,83.1 %,6945209,0.17 %,4870921740.0,74.0
Sweden,1980,8316338,0.29 %,23800,17713,36.3,1.66,20,83.1 %,6909767,0.19 %,4458003514.0,70.0
Sweden,1975,8197340,0.35 %,28485,3760,35.4,1.91,20,82.7 %,6781627,0.20 %,4079480606.0,65.0
Sweden,1970,8054916,0.79 %,61849,26196,35.4,2.17,20,81.0 %,6527198,0.22 %,3700437046.0,65.0
Sweden,1965,7745673,0.69 %,52626,16070,36.2,2.31,19,77.1 %,5968494,0.23 %,3339583597.0,55.0
Sweden,1960,7482543,0.60 %,43984,9453,36.0,2.25,18,72.5 %,5424075,0.25 %,3034949748.0,60.0
Sweden,1955,7262623,0.71 %,50542,10410,35.1,2.24,18,69.3 %,5030711,0.26 %,2773019936.0,55.0
Switzerland,2020,8654622,0.74 %,63257,52000,43.1,1.54,219,74.1 %,6408840,0.11 %,7794798739.0,101.0
Switzerland,2019,8591365,0.77 %,65754,52000,42.4,1.53,217,74.0 %,6357099,0.11 %,7713468100.0,100.0
Switzerland,2018,8525611,0.83 %,69807,52000,42.4,1.53,216,74.0 %,6305272,0.11 %,7631091040.0,100.0
Switzerland,2017,8455804,0.91 %,75887,52000,42.4,1.53,214,73.9 %,6251968,0.11 %,7547858925.0,99.0
Switzerland,2016,8379917,1.00 %,83142,52000,42.4,1.53,212,73.9 %,6195374,0.11 %,7464022049.0,99.0
Switzerland,2015,8296775,1.22 %,97620,79453,42.2,1.53,210,73.9 %,6133126,0.11 %,7379797139.0,99.0
Switzerland,2010,7808675,1.12 %,84372,68974,41.6,1.47,198,73.8 %,5764887,0.11 %,6956823603.0,97.0
Switzerland,2005,7386816,0.67 %,48611,37225,40.0,1.41,187,73.7 %,5444962,0.11 %,6541907027.0,96.0
Switzerland,2000,7143761,0.42 %,29648,13044,38.6,1.48,181,73.6 %,5259555,0.12 %,6143493823.0,93.0
Switzerland,1995,6995521,1.01 %,68531,49481,37.2,1.54,177,73.9 %,5169422,0.12 %,5744212979.0,92.0
Switzerland,1990,6652868,0.67 %,43489,26171,36.9,1.55,168,74.2 %,4934467,0.12 %,5327231061.0,91.0
Switzerland,1985,6435424,0.48 %,30318,16208,36.0,1.54,163,74.5 %,4792236,0.13 %,4870921740.0,88.0
Switzerland,1980,6283832,-0.17 %,-10639,-27073,34.6,1.54,159,74.7 %,4694767,0.14 %,4458003514.0,81.0
Switzerland,1975,6337025,0.60 %,37235,5037,32.9,1.87,160,74.4 %,4716811,0.16 %,4079480606.0,78.0
Switzerland,1970,6150852,1.14 %,67600,18596,31.8,2.36,156,74.1 %,4555620,0.17 %,3700437046.0,72.0
Switzerland,1965,5812851,1.94 %,106434,55430,31.5,2.6,147,72.6 %,4221894,0.17 %,3339583597.0,71.0
Switzerland,1960,5280680,1.27 %,64723,25992,32.7,2.39,134,71.1 %,3756214,0.17 %,3034949748.0,70.0
Switzerland,1955,4957066,1.21 %,57796,23807,33.0,2.31,125,69.3 %,3436960,0.18 %,2773019936.0,71.0
Syria,2020,17500658,2.52 %,430523,-427391,25.6,2.84,95,60.0 %,10498283,0.22 %,7794798739.0,68.0
Syria,2019,17070135,0.74 %,125078,-427391,24.0,3.05,93,59.4 %,10141352,0.22 %,7713468100.0,69.0
Syria,2018,16945057,-0.88 %,-150621,-427391,24.0,3.05,92,58.4 %,9903237,0.22 %,7631091040.0,69.0
Syria,2017,17095678,-2.12 %,-369897,-427391,24.0,3.05,93,57.2 %,9774379,0.23 %,7547858925.0,65.0
Syria,2016,17465575,-2.96 %,-531833,-427391,24.0,3.05,95,55.8 %,9737763,0.23 %,7464022049.0,64.0
Syria,2015,17997408,-3.37 %,-673024,-1077397,23.6,3.1,98,54.3 %,9773578,0.24 %,7379797139.0,61.0
Syria,2010,21362529,3.07 %,600271,74000,21.1,3.7,116,54.7 %,11686472,0.31 %,6956823603.0,54.0
Syria,2005,18361176,2.27 %,390066,-75982,19.6,3.9,100,53.6 %,9839155,0.28 %,6541907027.0,56.0
Syria,2000,16410848,2.73 %,413071,-26000,18.7,4.3,89,51.9 %,8524885,0.27 %,6143493823.0,56.0
Syria,1995,14345492,2.88 %,379864,-14000,17.5,4.8,78,50.1 %,7187664,0.25 %,5744212979.0,58.0
Syria,1990,12446171,3.17 %,359508,-29300,16.3,5.87,68,48.9 %,6090038,0.23 %,5327231061.0,56.0
Syria,1985,10648632,3.58 %,343572,-17400,15.6,6.77,58,47.9 %,5099767,0.22 %,4870921740.0,57.0
Syria,1980,8930774,3.46 %,279012,-32334,15.5,7.32,49,46.7 %,4171360,0.20 %,4458003514.0,64.0
Syria,1975,7535714,3.48 %,237035,-16300,15.8,7.54,41,45.1 %,3395649,0.18 %,4079480606.0,68.0
Syria,1970,6350541,3.40 %,195481,-3200,15.9,7.56,35,43.3 %,2752618,0.17 %,3700437046.0,70.0
Syria,1965,5373137,3.28 %,159925,-3200,15.8,7.54,29,40.0 %,2149575,0.16 %,3339583597.0,80.0
Syria,1960,4573512,3.18 %,132402,-3000,17.0,7.38,25,36.8 %,1683354,0.15 %,3034949748.0,76.0
Syria,1955,3911501,2.76 %,99634,-14000,18.8,7.23,21,34.7 %,1358205,0.14 %,2773019936.0,80.0
Taiwan,2020,23816775,0.18 %,42899,30001,42.5,1.15,673,78.9 %,18802314,0.31 %,7794798739.0,57.0
Taiwan,2019,23773876,0.20 %,47416,30001,40.3,1.11,671,78.5 %,18662774,0.31 %,7713468100.0,56.0
Taiwan,2018,23726460,0.22 %,51914,30001,40.3,1.11,670,78.0 %,18518291,0.31 %,7631091040.0,56.0
Taiwan,2017,23674546,0.24 %,56346,30001,40.3,1.11,669,77.6 %,18369720,0.31 %,7547858925.0,56.0
Taiwan,2016,23618200,0.26 %,60723,30001,40.3,1.11,667,77.1 %,18218159,0.32 %,7464022049.0,56.0
Taiwan,2015,23557477,0.32 %,73985,34000,39.7,1.11,665,76.7 %,18064348,0.32 %,7379797139.0,54.0
Taiwan,2010,23187551,0.42 %,96368,50000,37.2,1.05,655,74.4 %,17254388,0.33 %,6956823603.0,51.0
Taiwan,2005,22705713,0.66 %,147837,41000,34.6,1.33,641,72.0 %,16339969,0.35 %,6541907027.0,48.0
Taiwan,2000,21966527,0.57 %,122099,-50000,32.0,1.67,620,69.5 %,15258841,0.36 %,6143493823.0,47.0
Taiwan,1995,21356033,0.84 %,175503,-30000,29.8,1.76,603,68.0 %,14516273,0.37 %,5744212979.0,44.0
Taiwan,1990,20478520,1.19 %,235023,16000,27.5,1.77,578,65.7 %,13457894,0.38 %,5327231061.0,39.0
Taiwan,1985,19303404,1.51 %,279589,-12200,25.0,2.23,545,57.2 %,11043738,0.40 %,4870921740.0,39.0
Taiwan,1980,17905458,1.69 %,288106,-42000,23.2,2.74,506,48.2 %,8631549,0.40 %,4458003514.0,37.0
Taiwan,1975,16464927,1.98 %,308094,-5000,20.8,3.33,465,39.2 %,6458027,0.40 %,4079480606.0,36.0
Taiwan,1970,14924455,2.96 %,404660,70298,18.9,4.38,421,35.9 %,5360607,0.40 %,3700437046.0,35.0
Taiwan,1965,12901155,3.47 %,405001,50176,17.8,5.41,364,33.2 %,4282804,0.39 %,3339583597.0,41.0
Taiwan,1960,10876150,3.43 %,337236,1000,17.5,6.14,307,30.9 %,3361618,0.36 %,3034949748.0,38.0
Taiwan,1955,9189972,3.87 %,317522,19000,17.9,6.72,260,28.5 %,2623092,0.33 %,2773019936.0,41.0
Tajikistan,2020,9537645,2.32 %,216627,-20000,22.4,3.61,68,27.3 %,2606273,0.12 %,7794798739.0,95.0
Tajikistan,2019,9321018,2.42 %,220183,-20000,22.1,3.61,67,27.2 %,2537559,0.12 %,7713468100.0,96.0
Tajikistan,2018,9100835,2.48 %,220567,-20000,22.1,3.61,65,27.2 %,2471185,0.12 %,7631091040.0,96.0
Tajikistan,2017,8880268,2.50 %,216689,-20000,22.1,3.61,63,27.1 %,2407140,0.12 %,7547858925.0,96.0
Tajikistan,2016,8663579,2.48 %,209551,-20000,22.1,3.61,62,27.1 %,2345435,0.12 %,7464022049.0,98.0
Tajikistan,2015,8454028,2.35 %,185327,-27395,22.0,3.61,60,27.0 %,2286101,0.11 %,7379797139.0,98.0
Tajikistan,2010,7527394,2.09 %,147615,-29158,21.3,3.61,54,26.9 %,2026528,0.11 %,6956823603.0,98.0
Tajikistan,2005,6789321,1.78 %,114596,-28988,19.8,3.72,49,26.8 %,1817059,0.10 %,6541907027.0,98.0
Tajikistan,2000,6216341,1.52 %,90306,-47451,18.3,4.29,44,26.5 %,1647352,0.10 %,6143493823.0,98.0
Tajikistan,1995,5764810,1.76 %,96199,-46460,17.8,4.88,41,28.9 %,1664663,0.10 %,5744212979.0,97.0
Tajikistan,1990,5283814,3.09 %,149198,-6302,18.1,5.5,38,31.7 %,1672719,0.10 %,5327231061.0,99.0
Tajikistan,1985,4537822,3.05 %,126475,2483,18.4,5.6,32,33.2 %,1508149,0.09 %,4870921740.0,103.0
Tajikistan,1980,3905446,2.87 %,102901,4560,18.2,5.9,28,34.3 %,1339141,0.09 %,4458003514.0,106.0
Tajikistan,1975,3390941,2.96 %,92167,5607,17.6,6.83,24,35.5 %,1205007,0.08 %,4079480606.0,106.0
Tajikistan,1970,2930107,3.33 %,88426,13156,17.1,7.0,21,36.9 %,1080505,0.08 %,3700437046.0,108.0
Tajikistan,1965,2487976,3.58 %,80185,10667,18.6,6.8,18,35.2 %,874558,0.07 %,3339583597.0,117.0
Tajikistan,1960,2087049,3.07 %,58527,1672,21.6,6.2,15,33.2 %,692233,0.07 %,3034949748.0,117.0
Tajikistan,1955,1794416,3.22 %,52583,11672,22.4,5.4,13,31.2 %,560602,0.06 %,2773019936.0,117.0
Tanzania,2020,59734218,2.98 %,1728755,-40076,18.0,4.92,67,37.0 %,22113353,0.77 %,7794798739.0,24.0
Tanzania,2019,58005463,3.00 %,1692025,-40076,17.6,5.17,65,36.2 %,21015391,0.75 %,7713468100.0,25.0
Tanzania,2018,56313438,3.02 %,1653099,-40076,17.6,5.17,64,35.4 %,19958545,0.74 %,7631091040.0,25.0
Tanzania,2017,54660339,3.04 %,1611109,-40076,17.6,5.17,62,34.7 %,18942828,0.72 %,7547858925.0,25.0
Tanzania,2016,53049230,3.04 %,1566597,-40076,17.6,5.17,60,33.9 %,17968436,0.71 %,7464022049.0,25.0
Tanzania,2015,51482633,3.03 %,1427222,-50087,17.6,5.24,58,33.1 %,17035213,0.70 %,7379797139.0,26.0
Tanzania,2010,44346525,2.89 %,1179241,-100171,17.4,5.58,50,29.2 %,12959969,0.64 %,6956823603.0,30.0
Tanzania,2005,38450320,2.80 %,990228,-60105,17.4,5.66,43,25.5 %,9791527,0.59 %,6541907027.0,31.0
Tanzania,2000,33499180,2.47 %,770009,-80141,17.4,5.75,38,22.8 %,7624725,0.55 %,6143493823.0,32.0
Tanzania,1995,29649135,3.30 %,889058,116819,17.2,6.05,33,20.8 %,6154968,0.52 %,5744212979.0,32.0
Tanzania,1990,25203845,3.10 %,714010,13623,17.0,6.36,28,19.1 %,4807840,0.47 %,5327231061.0,34.0
Tanzania,1985,21633796,3.14 %,619107,7012,16.9,6.55,24,16.9 %,3661481,0.44 %,4870921740.0,36.0
Tanzania,1980,18538259,3.14 %,530606,-5008,16.8,6.73,21,14.7 %,2719241,0.42 %,4458003514.0,36.0
Tanzania,1975,15885229,3.25 %,469950,24040,16.8,6.75,18,11.2 %,1781210,0.39 %,4079480606.0,38.0
Tanzania,1970,13535481,3.07 %,380130,7212,17.0,6.79,15,7.9 %,1068352,0.37 %,3700437046.0,38.0
